CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
106,56,Female,16,11,5,18,Premium,Monthly,590,27,1
107,42,Female,12,6,8,25,Basic,Monthly,566,11,1
108,52,Male,29,2,2,4,Basic,Annual,435,27,1
109,32,Male,13,6,4,11,Basic,Annual,649,8,1
110,38,Female,3,11,5,16,Standard,Quarterly,212,4,1
111,60,Male,50,10,2,4,Standard,Quarterly,552,8,1
112,48,Male,4,7,9,29,Standard,Quarterly,421,4,1
113,52,Female,1,29,2,19,Basic,Annual,202,22,1
114,55,Male,59,15,3,3,Standard,Annual,236,22,1
115,59,Female,37,11,0,11,Standard,Quarterly,545,10,1
116,26,Male,37,30,4,13,Standard,Monthly,414,1,1
117,53,Female,14,2,2,5,Premium,Monthly,336,18,1
118,60,Female,35,26,10,16,Basic,Monthly,882,29,1
119,28,Male,33,14,7,29,Basic,Monthly,856,6,1
120,60,Female,52,6,2,6,Standard,Quarterly,382,7,1
121,30,Female,8,6,10,14,Standard,Monthly,365,9,1
122,27,Male,48,1,4,27,Premium,Annual,330,8,1
123,21,Male,34,10,7,17,Premium,Monthly,867,29,1
124,25,Female,43,19,7,10,Basic,Annual,832,27,1
125,32,Female,18,14,5,15,Basic,Annual,552,27,1
126,46,Female,8,30,0,9,Standard,Monthly,672,10,1
127,44,Female,22,7,7,4,Basic,Annual,866,13,1
128,27,Female,49,19,1,1,Standard,Quarterly,604,21,1
129,60,Female,53,23,1,10,Standard,Quarterly,917,12,1
130,57,Male,58,20,0,6,Standard,Monthly,801,2,1
131,42,Female,37,12,8,21,Premium,Annual,985,23,1
132,31,Female,40,7,5,0,Premium,Annual,295,7,1
133,38,Female,55,25,10,16,Standard,Quarterly,153,12,1
134,27,Male,28,27,8,28,Standard,Annual,326,12,1
135,18,Female,46,30,0,5,Basic,Quarterly,269,10,1
136,40,Female,31,30,9,18,Basic,Annual,537,27,1
137,58,Male,32,6,4,5,Premium,Annual,684,28,1
138,24,Male,44,11,10,0,Basic,Quarterly,341,10,1
139,60,Male,11,14,8,27,Standard,Monthly,344,15,1
140,39,Female,8,19,10,1,Standard,Quarterly,890,20,1
141,51,Male,2,6,1,23,Standard,Quarterly,959,23,1
142,49,Male,18,18,8,20,Basic,Quarterly,517,1,1
143,52,Male,25,26,9,17,Standard,Quarterly,658,1,1
144,36,Female,5,6,0,6,Premium,Quarterly,787,9,0
145,40,Female,46,3,6,28,Standard,Quarterly,833,26,1
146,21,Female,42,24,5,28,Basic,Annual,877,12,1
147,56,Female,7,22,7,15,Basic,Monthly,584,3,1
148,63,Male,35,13,5,9,Premium,Annual,947,10,1
149,53,Female,51,4,9,1,Basic,Quarterly,325,18,1
150,30,Male,55,26,5,9,Standard,Monthly,376,18,1
151,54,Female,54,4,4,15,Standard,Monthly,855,27,1
152,55,Female,10,15,6,22,Standard,Quarterly,860,26,1
153,28,Male,54,26,2,12,Basic,Annual,288,16,1
154,56,Female,22,19,2,26,Basic,Monthly,398,26,1
155,48,Male,49,20,1,7,Standard,Quarterly,953,30,0
156,40,Female,17,2,1,4,Basic,Quarterly,761,30,1
157,63,Female,15,16,4,17,Standard,Quarterly,770,3,1
158,59,Female,16,2,6,5,Standard,Monthly,183,27,1
159,56,Male,14,21,3,25,Basic,Quarterly,374,18,1
160,29,Female,42,13,2,1,Standard,Monthly,285,21,1
161,22,Male,23,29,10,17,Basic,Annual,294,28,1
162,24,Male,14,22,2,17,Basic,Quarterly,594,18,0
163,55,Male,33,27,5,6,Standard,Quarterly,505,19,1
164,32,Female,59,9,6,23,Standard,Quarterly,616,1,1
165,61,Male,49,27,0,2,Basic,Monthly,937,25,1
166,63,Male,58,26,7,9,Premium,Quarterly,109,3,1
167,56,Female,18,23,2,15,Basic,Monthly,411,17,1
168,63,Male,13,17,10,6,Standard,Monthly,890,8,1
169,51,Male,49,9,6,16,Premium,Annual,338,18,1
170,64,Male,26,24,10,8,Premium,Quarterly,609,3,1
171,54,Female,27,9,4,4,Premium,Monthly,226,8,1
172,43,Male,49,22,8,29,Basic,Quarterly,261,11,1
173,24,Male,31,24,9,25,Premium,Annual,900,1,1
174,44,Male,40,8,10,4,Basic,Annual,503,25,1
175,22,Male,39,3,4,16,Standard,Annual,443,4,1
176,50,Female,9,30,2,8,Premium,Quarterly,537,25,1
177,43,Male,59,8,9,27,Premium,Monthly,535,22,1
178,46,Male,55,7,3,7,Standard,Monthly,971,21,1
179,40,Female,51,30,8,19,Premium,Quarterly,351,12,1
180,34,Female,19,17,1,5,Premium,Quarterly,201,1,1
181,64,Male,17,7,10,3,Basic,Monthly,966,15,1
182,23,Male,49,23,1,20,Standard,Monthly,875,29,1
183,18,Male,3,2,4,25,Standard,Annual,228,5,1
184,47,Female,14,21,8,15,Premium,Monthly,165,15,1
185,48,Male,3,30,1,10,Premium,Annual,850,29,0
186,18,Female,27,23,1,11,Premium,Annual,729,19,1
187,55,Female,12,13,1,7,Standard,Annual,167,11,1
188,56,Male,39,20,1,29,Basic,Quarterly,693,9,1
189,21,Female,11,14,8,19,Standard,Annual,854,6,1
190,47,Male,2,4,8,11,Standard,Quarterly,426,1,1
191,40,Female,16,19,7,17,Basic,Quarterly,868,10,1
192,48,Female,2,30,1,19,Premium,Monthly,408,8,1
193,37,Male,41,19,10,7,Premium,Monthly,152,15,1
194,63,Male,48,10,3,9,Basic,Monthly,448,18,1
195,51,Female,37,4,5,24,Premium,Monthly,326,4,1
196,32,Female,35,9,1,15,Premium,Quarterly,951,4,0
197,51,Female,5,17,9,14,Standard,Monthly,195,16,1
198,54,Male,38,7,7,14,Basic,Quarterly,715,8,1
199,18,Female,55,30,0,2,Basic,Quarterly,101,28,1
200,46,Male,38,16,8,17,Basic,Quarterly,495,24,1
201,39,Female,7,21,4,27,Basic,Monthly,536,11,1
202,59,Female,24,24,2,3,Basic,Annual,516,25,1
203,42,Female,12,19,6,7,Premium,Quarterly,969,21,1
204,56,Male,15,18,3,11,Premium,Annual,471,12,1
205,50,Male,38,7,4,11,Premium,Monthly,902,12,1
206,62,Male,6,27,8,3,Standard,Annual,499,28,1
207,49,Male,44,6,8,26,Basic,Quarterly,378,4,1
208,57,Female,46,19,3,5,Premium,Monthly,553,30,1
209,63,Male,39,20,3,8,Premium,Annual,165,27,1
210,42,Female,58,1,3,10,Standard,Quarterly,733,2,0
211,32,Female,2,10,3,16,Basic,Quarterly,103,3,1
212,42,Male,45,28,4,30,Premium,Monthly,335,6,1
213,52,Female,56,14,10,29,Standard,Quarterly,719,4,1
214,37,Male,45,9,7,29,Standard,Quarterly,460,11,1
215,37,Female,55,10,9,15,Basic,Quarterly,272,16,1
216,51,Female,9,16,6,19,Standard,Monthly,995,30,1
217,50,Female,55,27,8,10,Premium,Quarterly,777,14,1
218,61,Female,10,20,8,27,Basic,Quarterly,836,18,1
219,65,Male,44,4,10,28,Standard,Quarterly,890,15,1
220,35,Male,21,26,7,13,Basic,Monthly,570,17,1
221,33,Female,43,12,10,13,Standard,Annual,204,9,1
222,27,Female,40,6,6,2,Basic,Annual,595,10,1
223,38,Female,47,11,3,5,Basic,Monthly,788,4,1
224,65,Male,33,13,2,23,Standard,Annual,142,27,1
225,47,Female,37,1,5,8,Premium,Quarterly,798,19,1
226,20,Male,7,7,2,16,Basic,Quarterly,867,24,0
227,60,Male,14,13,1,21,Standard,Quarterly,904,6,1
228,44,Male,2,27,7,12,Premium,Quarterly,936,3,1
229,25,Male,19,6,9,1,Standard,Quarterly,759,4,1
230,46,Female,43,7,10,27,Basic,Annual,134,1,1
231,31,Male,46,13,3,20,Basic,Annual,211,7,1
232,34,Female,21,13,1,27,Premium,Quarterly,910,21,1
233,60,Female,44,25,7,23,Basic,Quarterly,944,30,1
234,33,Female,40,26,3,22,Standard,Annual,293,30,1
235,54,Female,19,26,2,3,Premium,Quarterly,656,20,1
236,33,Female,1,1,7,18,Basic,Monthly,411,16,1
237,45,Female,53,6,2,13,Basic,Quarterly,841,21,1
238,44,Female,18,14,4,2,Basic,Quarterly,249,9,1
239,43,Male,29,16,6,20,Basic,Quarterly,493,23,1
240,44,Female,34,26,4,12,Premium,Annual,353,16,1
241,22,Male,24,12,0,30,Standard,Annual,857,7,1
242,46,Female,19,7,5,4,Basic,Monthly,771,21,1
243,34,Female,20,29,0,4,Basic,Annual,580,4,0
244,41,Male,56,2,4,24,Premium,Quarterly,353,16,1
245,54,Female,33,19,1,19,Basic,Quarterly,802,6,1
246,44,Female,50,19,5,28,Standard,Monthly,618,24,1
247,21,Male,58,4,10,16,Basic,Monthly,985,10,1
248,55,Male,17,5,3,19,Premium,Monthly,957,8,1
249,50,Male,37,18,0,23,Basic,Annual,148,25,1
250,29,Female,56,12,9,25,Premium,Monthly,144,19,1
251,22,Female,18,25,6,28,Premium,Monthly,494,27,1
252,49,Male,18,20,0,4,Premium,Quarterly,642,5,0
253,51,Female,51,16,5,11,Standard,Annual,213,27,1
254,21,Male,46,13,0,23,Basic,Monthly,823,18,1
255,20,Male,30,15,8,6,Standard,Monthly,582,29,1
256,58,Female,51,23,0,2,Standard,Monthly,782,21,1
257,53,Female,1,4,7,24,Premium,Annual,598,4,1
258,21,Male,17,29,7,28,Standard,Monthly,990,28,1
259,62,Female,25,20,10,23,Basic,Annual,784,23,1
260,44,Male,3,19,0,12,Standard,Annual,268,1,1
261,27,Male,18,16,6,4,Standard,Annual,575,11,1
262,64,Male,60,26,3,9,Basic,Quarterly,783,30,1
263,60,Male,34,13,5,7,Standard,Monthly,504,24,1
264,21,Male,20,1,1,7,Premium,Quarterly,326,8,1
265,53,Female,30,23,3,30,Standard,Monthly,588,22,1
266,36,Female,52,2,3,13,Basic,Quarterly,486,25,1
267,62,Female,22,24,9,23,Premium,Monthly,922,4,1
268,22,Female,35,5,2,11,Basic,Quarterly,892,30,1
269,65,Female,16,7,5,20,Basic,Annual,165,15,1
270,58,Female,29,5,5,26,Standard,Quarterly,262,2,1
271,54,Male,56,7,7,4,Standard,Annual,206,20,1
272,32,Female,9,12,4,30,Premium,Quarterly,936,23,1
273,49,Male,14,16,9,24,Basic,Monthly,285,23,1
274,64,Male,25,20,0,23,Standard,Annual,141,12,1
275,47,Female,56,27,5,5,Standard,Monthly,803,21,1
276,35,Male,57,11,4,21,Standard,Annual,532,12,1
277,63,Male,44,15,0,3,Premium,Quarterly,752,26,1
278,48,Female,36,20,1,11,Standard,Monthly,674,25,1
279,54,Male,3,17,4,27,Standard,Annual,401,21,1
280,18,Male,7,27,8,2,Premium,Monthly,146,29,1
281,46,Male,9,26,0,28,Standard,Quarterly,569,27,1
282,52,Male,33,28,7,11,Basic,Quarterly,726,27,1
283,31,Female,50,10,7,11,Premium,Monthly,404,26,1
284,18,Female,26,7,9,11,Standard,Quarterly,795,26,1
285,46,Female,48,18,1,29,Basic,Monthly,817,5,1
286,28,Male,12,6,8,9,Premium,Quarterly,297,27,1
287,29,Female,38,20,5,26,Standard,Monthly,563,13,1
288,61,Male,27,19,2,11,Standard,Annual,225,8,1
289,35,Female,46,16,1,10,Standard,Monthly,411,12,1
290,19,Female,48,4,10,3,Basic,Monthly,684,3,1
291,42,Female,8,9,6,3,Premium,Annual,704,26,1
292,59,Female,57,2,2,14,Premium,Quarterly,183,10,1
293,20,Female,29,12,9,3,Premium,Monthly,908,28,1
294,62,Female,51,1,1,21,Premium,Annual,417,15,1
295,20,Male,40,1,4,16,Premium,Quarterly,490,18,1
296,60,Male,55,27,1,30,Premium,Annual,730,11,1
297,19,Male,54,10,9,12,Standard,Quarterly,604,8,1
298,52,Female,13,21,2,2,Premium,Annual,379,17,1
299,65,Female,59,1,8,9,Basic,Annual,916,22,1
300,64,Female,53,30,9,28,Basic,Quarterly,361,21,1
301,21,Female,45,27,4,17,Standard,Annual,547,29,1
302,55,Male,30,20,0,2,Standard,Annual,395,25,1
303,63,Female,30,26,0,24,Standard,Monthly,683,3,1
304,63,Male,3,8,1,20,Basic,Quarterly,798,4,1
305,58,Female,36,6,6,18,Standard,Quarterly,519,18,1
306,50,Male,16,18,2,30,Premium,Annual,350,5,1
307,29,Male,8,8,3,14,Premium,Annual,748,21,1
308,34,Female,35,27,6,2,Basic,Annual,261,15,1
309,32,Female,47,1,1,22,Standard,Monthly,938,21,1
310,28,Female,18,6,5,15,Premium,Annual,193,26,1
311,46,Male,44,14,8,23,Standard,Annual,428,23,1
312,57,Male,14,13,8,25,Standard,Annual,314,24,1
313,59,Male,34,19,8,6,Basic,Monthly,309,23,1
314,22,Female,43,14,2,0,Standard,Monthly,629,5,1
315,29,Male,59,5,5,12,Standard,Annual,209,12,1
316,57,Male,29,27,2,1,Premium,Monthly,279,24,1
317,35,Female,3,13,10,19,Basic,Annual,554,15,1
318,64,Female,13,3,5,30,Premium,Annual,967,30,1
319,55,Male,51,28,8,23,Premium,Quarterly,866,1,1
320,60,Female,7,6,9,24,Standard,Annual,758,23,1
321,62,Female,44,17,4,11,Standard,Monthly,258,23,1
322,54,Female,9,11,1,9,Basic,Monthly,479,18,1
323,45,Female,10,23,10,19,Standard,Quarterly,730,28,1
324,41,Male,23,6,3,20,Premium,Monthly,327,23,1
325,28,Male,2,14,4,4,Premium,Annual,384,20,1
326,47,Female,59,12,6,4,Basic,Annual,557,10,1
327,41,Female,33,12,10,16,Standard,Monthly,921,6,1
328,31,Female,43,4,4,2,Standard,Monthly,873,14,1
329,37,Male,13,6,7,11,Basic,Quarterly,206,17,1
330,23,Female,30,12,10,5,Standard,Monthly,941,11,1
331,39,Male,11,9,9,15,Standard,Quarterly,751,13,1
332,42,Male,48,9,0,1,Standard,Monthly,428,24,1
333,56,Male,47,3,6,23,Premium,Quarterly,883,15,1
334,49,Male,22,19,7,4,Basic,Quarterly,205,5,1
335,28,Male,2,6,1,20,Premium,Annual,520,16,0
336,55,Male,14,1,8,1,Premium,Monthly,216,27,1
337,44,Male,42,4,3,3,Basic,Annual,861,24,0
338,21,Female,52,5,7,29,Basic,Monthly,708,16,1
339,45,Female,31,14,3,28,Premium,Annual,806,1,1
340,65,Male,36,5,4,29,Basic,Annual,352,28,1
341,48,Male,37,7,1,24,Premium,Monthly,872,25,1
342,21,Male,31,16,0,12,Premium,Monthly,102,3,1
343,43,Male,40,19,10,27,Basic,Annual,694,7,1
344,60,Female,50,11,1,7,Standard,Annual,937,14,1
345,52,Female,14,18,2,29,Basic,Annual,786,30,1
346,63,Male,8,17,6,20,Premium,Monthly,948,15,1
347,19,Male,10,16,5,8,Standard,Monthly,403,27,1
348,60,Female,31,27,3,11,Basic,Annual,566,16,1
349,26,Female,29,8,2,3,Standard,Quarterly,692,17,1
350,23,Male,43,11,6,19,Basic,Annual,433,4,1
351,51,Female,34,30,8,22,Standard,Monthly,978,11,1
352,29,Female,60,3,7,27,Basic,Monthly,540,17,1
353,39,Male,14,10,1,30,Premium,Quarterly,459,22,1
354,21,Male,5,23,7,23,Premium,Monthly,645,18,1
355,32,Male,45,19,4,23,Standard,Quarterly,783,24,1
356,24,Male,49,3,7,23,Premium,Annual,723,15,1
357,65,Female,52,27,4,30,Basic,Quarterly,923,7,1
358,36,Male,38,2,2,22,Premium,Monthly,871,8,1
359,35,Male,1,21,4,9,Standard,Quarterly,113,18,1
360,18,Male,56,9,5,23,Basic,Monthly,265,24,1
361,31,Female,34,24,7,16,Standard,Annual,886,14,1
362,62,Female,12,7,4,24,Premium,Quarterly,921,14,1
363,43,Female,34,24,1,18,Premium,Quarterly,191,27,1
364,27,Female,11,13,3,13,Standard,Monthly,264,4,1
365,57,Female,34,18,8,8,Basic,Quarterly,609,8,1
366,56,Male,5,12,4,5,Basic,Monthly,249,10,1
367,20,Male,2,6,7,5,Premium,Monthly,786,13,1
368,39,Female,31,24,2,20,Basic,Quarterly,914,24,1
369,46,Female,51,9,8,11,Standard,Quarterly,358,2,1
370,52,Female,27,15,6,15,Standard,Annual,427,15,1
371,22,Female,22,1,8,17,Standard,Annual,606,14,1
372,24,Male,20,8,8,24,Premium,Annual,984,25,1
373,62,Male,55,3,6,16,Premium,Annual,531,28,1
374,39,Female,52,11,0,20,Standard,Monthly,361,13,1
375,32,Male,24,26,6,24,Standard,Monthly,411,17,1
376,49,Female,21,20,9,6,Standard,Quarterly,277,24,1
377,22,Female,3,27,3,5,Premium,Annual,968,14,1
378,38,Male,15,14,2,29,Premium,Monthly,847,30,1
379,41,Female,50,22,6,11,Premium,Monthly,839,26,1
380,45,Female,51,8,6,12,Basic,Quarterly,451,20,1
381,51,Male,4,20,9,0,Standard,Monthly,901,4,1
382,58,Female,21,25,3,0,Basic,Monthly,435,6,1
383,43,Male,18,6,2,2,Standard,Annual,195,10,1
384,23,Female,51,5,9,22,Premium,Annual,311,14,1
385,24,Male,8,23,8,18,Standard,Annual,142,9,1
386,21,Female,2,7,6,22,Basic,Quarterly,125,24,1
387,42,Female,19,22,1,23,Standard,Quarterly,247,4,1
388,39,Female,19,16,6,19,Standard,Quarterly,896,7,1
389,35,Male,58,16,10,29,Basic,Annual,845,5,1
390,23,Male,34,3,4,8,Basic,Quarterly,392,25,1
391,35,Female,40,18,2,14,Premium,Quarterly,363,10,1
392,56,Male,15,11,7,30,Premium,Quarterly,377,14,1
393,20,Female,27,28,9,11,Standard,Annual,964,26,1
394,59,Female,9,3,0,29,Premium,Annual,559,26,1
395,33,Female,34,10,9,2,Premium,Quarterly,691,29,1
396,59,Female,50,21,9,14,Premium,Monthly,142,4,1
397,39,Female,10,28,6,16,Standard,Quarterly,104,8,1
398,62,Female,8,4,8,13,Basic,Monthly,187,19,1
399,39,Female,48,5,6,17,Standard,Quarterly,107,3,1
400,26,Male,33,9,4,28,Premium,Monthly,748,6,1
401,53,Female,13,25,2,20,Basic,Quarterly,341,23,1
402,49,Male,22,26,4,4,Standard,Monthly,952,30,1
403,39,Female,11,6,2,25,Premium,Annual,476,12,1
404,44,Female,47,26,3,28,Basic,Annual,886,27,1
405,33,Male,29,6,6,16,Standard,Monthly,102,29,1
406,61,Male,9,20,6,22,Standard,Annual,809,7,1
407,56,Female,36,16,3,27,Basic,Annual,638,4,1
408,43,Female,27,10,2,14,Basic,Monthly,335,15,1
409,65,Female,3,22,6,27,Premium,Quarterly,966,14,1
410,44,Male,8,11,6,20,Basic,Annual,183,9,1
411,63,Female,7,13,8,20,Premium,Monthly,101,7,1
412,28,Male,40,29,0,29,Standard,Monthly,109,29,1
413,26,Female,11,12,7,13,Basic,Annual,785,1,1
414,23,Male,50,22,8,10,Basic,Monthly,732,1,1
415,57,Male,18,20,7,4,Standard,Monthly,427,24,1
416,51,Female,12,23,1,21,Standard,Monthly,840,22,1
417,18,Male,23,19,9,30,Basic,Annual,437,20,1
418,49,Female,55,30,5,2,Basic,Monthly,487,28,1
419,59,Male,46,24,10,12,Standard,Annual,429,22,1
420,47,Female,11,28,9,21,Premium,Monthly,738,3,1
421,55,Male,49,3,6,13,Premium,Quarterly,831,9,1
422,21,Female,46,15,3,12,Basic,Annual,106,28,1
423,51,Male,1,30,4,13,Basic,Quarterly,192,19,1
424,38,Male,47,27,7,23,Premium,Quarterly,862,30,1
425,56,Male,49,10,8,13,Standard,Monthly,535,12,1
426,27,Male,37,20,10,17,Premium,Monthly,117,14,1
427,61,Male,13,13,4,14,Basic,Annual,324,30,1
428,48,Female,45,21,8,12,Standard,Quarterly,835,24,1
429,43,Female,34,6,1,29,Standard,Monthly,992,19,1
430,44,Male,8,8,5,8,Premium,Monthly,910,1,1
431,41,Male,42,10,9,1,Standard,Annual,324,2,1
432,52,Female,32,25,8,1,Premium,Monthly,214,15,1
433,56,Female,31,23,9,21,Premium,Monthly,777,16,1
434,35,Male,23,23,1,5,Premium,Quarterly,742,24,0
435,21,Female,44,2,6,26,Premium,Quarterly,534,25,1
436,38,Male,41,6,10,26,Basic,Monthly,278,16,1
437,59,Male,50,4,9,22,Premium,Annual,522,13,1
438,57,Male,2,30,7,19,Standard,Quarterly,951,12,1
439,36,Female,26,25,4,8,Basic,Annual,508,23,1
440,18,Female,30,25,7,19,Basic,Monthly,224,17,1
441,63,Female,6,11,1,24,Basic,Annual,583,3,1
442,55,Male,55,4,10,19,Standard,Annual,383,28,1
443,28,Male,49,27,3,18,Premium,Quarterly,414,25,1
444,18,Female,39,24,0,22,Standard,Quarterly,974,17,1
445,40,Female,42,5,1,19,Premium,Annual,696,15,0
446,38,Female,58,3,1,17,Standard,Quarterly,808,23,1
447,64,Male,39,26,9,0,Premium,Annual,406,27,1
448,59,Female,51,13,3,4,Standard,Monthly,661,7,1
449,21,Male,4,27,9,11,Premium,Monthly,616,14,1
450,56,Female,35,26,5,3,Basic,Annual,360,21,1
451,25,Female,42,13,8,13,Premium,Monthly,849,4,1
452,23,Male,12,10,6,20,Standard,Quarterly,614,9,1
453,40,Female,33,2,7,1,Standard,Monthly,854,1,1
454,52,Female,56,26,0,10,Standard,Annual,301,26,1
455,43,Female,42,25,1,25,Basic,Quarterly,381,13,1
456,37,Female,44,11,7,7,Standard,Annual,899,23,1
457,39,Female,53,24,10,1,Standard,Quarterly,714,14,1
458,37,Male,38,11,3,19,Standard,Annual,374,12,1
459,34,Male,3,15,4,12,Premium,Annual,854,26,1
460,54,Female,1,13,0,14,Premium,Annual,361,28,1
461,29,Male,21,19,9,13,Standard,Quarterly,943,7,1
462,26,Male,53,26,9,14,Premium,Annual,475,11,1
463,42,Male,50,15,6,29,Basic,Quarterly,600,4,1
464,44,Male,32,28,5,16,Standard,Annual,107,23,1
465,49,Male,45,13,9,8,Basic,Annual,917,16,1
466,37,Female,40,2,6,30,Standard,Monthly,996,4,1
467,31,Female,59,2,1,6,Basic,Monthly,579,11,1
468,30,Female,49,6,4,16,Premium,Annual,464,19,1
469,28,Female,2,16,4,9,Premium,Monthly,555,8,1
